seed,rich,role,window,index,steps,x,y,target_x,target_y
7,1,train,0,6,8,6.9242966e-1,4.7516778e-1,6.738691e-1,4.9068838e-1
7,1,train,0,7,24,6.9242966e-1,4.7516778e-1,6.3476163e-1,5.301075e-1
7,1,train,0,8,8,2.4451831e-1,6.1644316e-1,2.5264817e-1,6.069789e-1
7,1,train,0,9,24,2.4451831e-1,6.1644316e-1,2.6725683e-1,5.923307e-1
7,1,train,0,10,8,7.3932517e-1,4.339718e-1,7.270501e-1,4.4240478e-1
7,1,train,0,11,24,7.3932517e-1,4.339718e-1,6.9855577e-1,4.6354553e-1
7,1,train,0,12,8,2.9401338e-1,4.315692e-1,2.787903e-1,4.481329e-1
7,1,train,0,13,24,2.9401338e-1,4.315692e-1,2.5960523e-1,4.7671977e-1
7,1,train,0,14,8,4.4225228e-1,4.863959e-1,4.6523878e-1,5.1661307e-1
7,1,train,0,15,24,4.4225228e-1,4.863959e-1,5.185417e-1,5.5925906e-1
7,1,train,0,16,8,2.194431e-1,4.8523653e-1,2.2040887e-1,4.9166787e-1
7,1,train,0,17,24,2.194431e-1,4.8523653e-1,2.2339965e-1,5.025127e-1
7,1,train,0,18,8,8.008988e-1,8.367002e-1,7.938981e-1,8.321734e-1
7,1,train,0,19,24,8.008988e-1,8.367002e-1,7.7751595e-1,8.2109964e-1
7,1,train,0,20,8,6.492866e-1,6.9288063e-1,6.25968e-1,6.5801615e-1
7,1,train,0,21,24,6.492866e-1,6.9288063e-1,5.9867764e-1,6.1165875e-1
7,1,train,0,22,8,6.754954e-1,1.6185975e-1,6.6787755e-1,1.6925594e-1
7,1,train,0,23,24,6.754954e-1,1.6185975e-1,6.530255e-1,1.850441e-1
7,1,train,0,24,8,5.959381e-1,2.8959525e-1,5.957616e-1,2.975132e-1
7,1,train,0,25,24,5.959381e-1,2.8959525e-1,5.9679836e-1,3.1344768e-1
7,1,train,0,26,8,1.9928022e-1,3.676044e-1,1.9898246e-1,3.8067254e-1
7,1,train,0,27,24,1.9928022e-1,3.676044e-1,1.983118e-1,4.0587473e-1
7,1,train,0,28,8,4.3480605e-1,6.954787e-1,4.4815227e-1,6.8040776e-1
7,1,train,0,29,24,4.3480605e-1,6.954787e-1,4.8325044e-1,6.490068e-1
7,1,train,0,30,8,2.4858755e-1,6.0844314e-1,2.56318e-1,6.0003555e-1
7,1,train,0,31,24,2.4858755e-1,6.0844314e-1,2.7005377e-1,5.8745795e-1
7,1,train,1,0,8,7.148092e-1,5.3745246e-1,6.848339e-1,5.438313e-1
7,1,train,1,1,24,7.148092e-1,5.3745246e-1,6.305724e-1,5.637689e-1
7,1,train,1,2,8,5.2134615e-1,7.2549987e-1,5.2857596e-1,6.9786865e-1
7,1,train,1,3,24,5.2134615e-1,7.2549987e-1,5.5190206e-1,6.416157e-1
7,1,train,1,4,8,4.1805115e-1,7.6047766e-1,4.2668256e-1,7.472555e-1
